Vaga 1: x=190, y=98, w=50, h=135
Vaga 2: x=250, y=106, w=60, h=122
Vaga 3: x=318, y=108, w=59, h=115
Vaga 4: x=382, y=110, w=59, h=112
Vaga 5: x=446, y=109, w=60, h=114
Vaga 6: x=509, y=103, w=63, h=121
Vaga 7: x=578, y=109, w=51, h=116
Vaga 8: x=643, y=114, w=50, h=114
Vaga 9: x=709, y=114, w=47, h=108
Vaga 10: x=773, y=114, w=49, h=114
Vaga 11: x=836, y=115, w=46, h=108
Vaga 12: x=902, y=114, w=46, h=108
Vaga 13: x=967, y=115, w=41, h=114
